desc,valor,metraje,url,metraje_2,lat,lng
2 Dormitorios en Atahualpa,135000,104.0,https://www.gallito.com.uy/casa-de-altos-en-muy-buen-estado-y-se-necesita-vender-ya-inmuebles-26082210,100.0,,
2 Dormitorios en Palermo,135000,150.0,https://www.gallito.com.uy/padron-unico-en-gonzalo-ramirez-en-pleno-palermo-a-reciclar-inmuebles-27565232,155.0,-34.91261,-56.18035
3 Dormitorios en Pocitos,137000,93.0,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-en-pocitos-inmuebles-27297480,93.0,,
3 Dormitorios en Ciudad Vieja,139000,89.0,https://www.gallito.com.uy/casa-venta-ciudad-vieja-montevideo-imasuy-s-inmuebles-27363836,89.0,-34.90869,-56.21134
Más de 4 dormitorios en Carrasco Norte,140000,150.0,https://www.gallito.com.uy/venta-de-3-casas-en-un-mismo-padron-en-carrasco-norte-inmuebles-26452783,150.0,-34.87201,-56.08587
3 Dormitorios en Brazo Oriental,140000,,https://www.gallito.com.uy/imperialvende-casa-tres-dorms-cochera-y-tzacon-parrillero-inmuebles-25169859,90.0,-34.86493,-56.1716
3 Dormitorios en Villa Española,145000,,https://www.gallito.com.uy/casa-venta-villa-española-montevideo-imasuy-rc-inmuebles-27175168,146.0,-34.86908,-56.14286
2 Dormitorios en La Blanqueada,145000,48.0,https://www.gallito.com.uy/baldovino-venta-casa-la-blanqueada-catala-y-chiavari-inmuebles-26724754,71.0,-34.87585,-56.16001
3 Dormitorios en Colon,145000,,https://www.gallito.com.uy/casa-amplio-jdin-pleno-centro-colon-inmuebles-26463784,135.0,,
3 Dormitorios en Jacinto Vera,147000,80.0,https://www.gallito.com.uy/no-gastos-comunes-gge-80m2-patio-estufa-leña-inmuebles-26836776,80.0,,
3 Dormitorios en Goes,148000,99.0,https://www.gallito.com.uy/casa-alquilada-en-padron-unico-a-1-de-gral-flores-inmuebles-22717476,99.0,-34.88129,-56.1802
4 Dormitorios en Colon,148000,120.0,https://www.gallito.com.uy/casa-y-apto-al-frente-ambos-con-cocheras-y-muy-bien-ubicados-inmuebles-27033172,300.0,-34.90721,-56.19027
3 Dormitorios en Perez Castellanos,149000,105.0,https://www.gallito.com.uy/dueño-vende-espectacular-casa-zona-antel-arenas-acepto-banco-inmuebles-27296982,190.0,-34.85995,-56.15686
3 Dormitorios en Parque Batlle,149000,95.0,https://www.gallito.com.uy/casa-en-venta-3-dorm-parque-batlle-inmuebles-23665936,95.0,-34.89345,-56.14762
3 Dormitorios en Goes,149000,92.0,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-y-2-baños-con-parrillero-goes-inmuebles-27331878,114.0,-34.87781,-56.17539
4 Dormitorios en Union,150000,130.0,https://www.gallito.com.uy/excelente-oportunidad-inmuebles-27352075,205.0,-34.87654,-56.14279
2 Dormitorios en Sayago,150000,97.0,https://www.gallito.com.uy/hermosa-casa-en-sayago-cochera-jardin-y-gran-fondo-inmuebles-27489443,185.0,-34.83126,-56.21127
2 Dormitorios en Pajas Blancas,150000,,https://www.gallito.com.uy/casa-2-dorm-2-baños-jardin-garage-parrillero-inmuebles-27599537,851.0,-34.86241,-56.33193
4 Dormitorios en Peñarol,155000,150.0,https://www.gallito.com.uy/ideal-p-inversion-p-renta-cuatro-unidades-en-un-padron-inmuebles-26266256,545.0,-34.82052,-56.21208
3 Dormitorios en Union,155000,170.0,https://www.gallito.com.uy/dos-casas-y-taller-en-un-padron-morelli-y-batlle-y-ordoñez-inmuebles-27565217,381.0,-34.88163,-56.144
3 Dormitorios en Goes,155000,,https://www.gallito.com.uy/casa-en-venta-goes-inmuebles-27379041,120.0,-34.87766,-56.17893
3 Dormitorios en Jacinto Vera,155000,,https://www.gallito.com.uy/casa-sobre-garibaldi-esquina-cufrã©-inmuebles-26072991,99.0,,
3 Dormitorios en Brazo Oriental,155000,103.0,https://www.gallito.com.uy/venta-casa-brazo-oriental-padron-unico-3-dormitorios-par-inmuebles-27266583,103.0,-34.8655,-56.18311
2 Dormitorios en Parque Rodo,157000,60.0,https://www.gallito.com.uy/venta-casa-de-2-dormitorios-en-parque-rodo-patio-con-parril-inmuebles-27441631,67.0,-34.90615,-56.17238
3 Dormitorios en Aires Puros,158000,,https://www.gallito.com.uy/excelente-casa-3-dormitorios-amplio-terreno-crenta-inmuebles-24510327,425.0,,
Más de 4 dormitorios en Parque Rodo,160000,157.0,https://www.gallito.com.uy/charrua-y-ac-diaz-amplisima-casa-antigua-a-reciclar-inmuebles-26790445,187.0,-34.9058,-56.16662
1 Ambiente en Goes,160000,135.0,https://www.gallito.com.uy/casa-a-la-venta-en-la-comercial-de-cuatro-dormitorios-inmuebles-27037369,135.0,-34.88904,-56.17723
2 Dormitorios en La Blanqueada,160000,131.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-la-blanqueada-mercado-modelo-inmuebles-27573497,257.0,-34.87017,-56.15702
Más de 4 dormitorios en Reducto,160000,225.0,https://www.gallito.com.uy/oportunidad-casa-y-apto-en-excelente-ubicacion-inmuebles-27410249,225.0,,
4 Dormitorios en Maroñas,160000,166.0,https://www.gallito.com.uy/hermosa-casa-gran-terreno-cochera-fondo-4-dorm-1-baño-inmuebles-27378704,640.0,-34.83642,-56.12516
4 Dormitorios en Peñarol,165000,100.0,https://www.gallito.com.uy/casa-de-4-dormitorio-terreno-de-3500-metros-en-peñarol-inmuebles-27351992,3600.0,,
4 Dormitorios en Atahualpa,165000,,https://www.gallito.com.uy/imperial-vendecasa-planta-alta-4-dormitorios-dos-baños-inmuebles-27239825,200.0,-34.86965,-56.18615
3 Dormitorios en Jacinto Vera,168000,,https://www.gallito.com.uy/casa-sobre-lorenzo-fernandez-y-pedernal-padrã³n-inmuebles-26924416,88.0,-34.87354,-56.17634
3 Dormitorios en La Blanqueada,169000,101.0,https://www.gallito.com.uy/amplia-casa-de-3-dormitorios-con-patio-y-garaje-inmuebles-27378242,113.0,,
3 Dormitorios en Maroñas Curva,169000,133.0,https://www.gallito.com.uy/casa-en-venta-tres-dormitorios-dos-baños-padron-unico-inmuebles-27272891,422.0,,
4 Dormitorios en Aguada,169000,,https://www.gallito.com.uy/casa-de-4-dormitorios-con-garaje-y-patio-sobre-inmuebles-26096211,115.0,-34.88293,-56.19137
3 Dormitorios en Jacinto Vera,169000,100.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-con-parrillero-jacinto-vera-inmuebles-27042631,100.0,,
2 Dormitorios en Buceo,169000,90.0,https://www.gallito.com.uy/venta-casa-antigua-buceo-a-reciclar-sobre-avenida-inmuebles-27569249,356.0,,
2 Dormitorios en Buceo,170000,65.0,https://www.gallito.com.uy/vivi-a-mts-de-la-rambla-del-puertito-inmuebles-24745086,65.0,-34.90197,-56.13141
3 Dormitorios en Piedras Blancas,170000,120.0,https://www.gallito.com.uy/extraordinaria-casa-2-aptos-a-30-mts-de-jbelloni-inmuebles-27067885,120.0,,
3 Dormitorios en Perez Castellanos,170000,130.0,https://www.gallito.com.uy/casa-al-frente-cjardin-y-amplio-patio-con-parrillero-gge-inmuebles-25772386,250.0,,
4 Dormitorios en Ciudad Vieja,170000,124.0,https://www.gallito.com.uy/venta-casa-4-dormitorios-y-patio-en-la-rambla-ciudad-vieja-inmuebles-27489552,124.0,-34.91087,-56.20975
3 Dormitorios en Prado,170000,100.0,https://www.gallito.com.uy/casa-duplex-en-complejo-privado-comodo-y-seguro-inmuebles-27503507,100.0,-34.84654,-56.2041
3 Dormitorios en La Blanqueada,175000,,https://www.gallito.com.uy/a-metros-del-nuevocentro-y-a-pasos-de-br-artigas-inmuebles-27377991,90.0,-34.87081,-56.1675
3 Dormitorios en Prado,175000,80.0,https://www.gallito.com.uy/excelente-ubicacion-en-el-prado-casa-en-venta-inmuebles-26257242,100.0,-34.85594,-56.20127
2 Dormitorios en Brazo Oriental,175000,103.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-en-brazo-oriental-patio-g-inmuebles-27234734,168.0,-34.86133,-56.18437
3 Dormitorios en Prado,175000,80.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-1-baño-en-el-prado-inmuebles-26845260,103.0,-34.85595,-56.20132
3 Dormitorios en Maroñas Curva,175000,347.0,https://www.gallito.com.uy/dos-casas-en-el-mismo-padron-en-curva-de-maronas-inmuebles-26193961,347.0,,
3 Dormitorios en Union,178000,160.0,https://www.gallito.com.uy/casa-en-venta-union-3-dormitorios-jardin-120-m2-2-pisos-inmuebles-27447721,280.0,,
2 Dormitorios en Parque Batlle,179000,60.0,https://www.gallito.com.uy/casa-a-estrenar-en-villa-dolores-inmuebles-26923539,70.0,-34.89956,-56.14772
2 Dormitorios en La Blanqueada,179000,,https://www.gallito.com.uy/muy-lindo-dãplex-en-chiavari-y-herrera-punto-inmuebles-25868460,57.0,-34.87553,-56.1605
4 Dormitorios en Union,179900,,https://www.gallito.com.uy/casa-venta-union-montevideo-imasuy-as-inmuebles-27569216,90.0,-34.88537,-56.13457
2 Dormitorios en Larrañaga,180000,90.0,https://www.gallito.com.uy/oportunidad-amplia-casa-2-dorm-patio-cochera-apto-inmuebles-26173211,215.0,-34.87113,-56.15993
2 Dormitorios en Cordon,180000,100.0,https://www.gallito.com.uy/casa-moderna-y-calida-con-patio-parrillero-y-estufa-a-leña-inmuebles-27518897,100.0,,
Más de 4 dormitorios en Cerro,180000,362.0,https://www.gallito.com.uy/casas-venta-centro-inmuebles-21355230,181.0,-34.89686,-56.19097
4 Dormitorios en Brazo Oriental,180000,,https://www.gallito.com.uy/imperial-vende-inversorescasa-reciclar-4-dorm-600-mtrs-inmuebles-26093100,600.0,-34.86289,-56.16623
2 Dormitorios en Buceo,180000,66.0,https://www.gallito.com.uy/a-nuevo-jardin-con-cochera-azotea-con-parrilero-con-mesada-inmuebles-27224454,170.0,-34.89496,-56.12585
4 Dormitorios en Capurro,183000,136.0,https://www.gallito.com.uy/venta-casa-4-dormitorios-en-capurro-inmuebles-27293505,252.0,-34.87016,-56.21132
4 Dormitorios en La Blanqueada,185000,100.0,https://www.gallito.com.uy/soleada-amplios-espacios-cochera-patio-parillero-si-banco-inmuebles-27561857,160.0,-34.88331,-56.1625
2 Dormitorios en Parque Batlle,187000,60.0,https://www.gallito.com.uy/casa-a-estrenar-en-parque-batlle-inmuebles-26923538,70.0,-34.89956,-56.14772
3 Dormitorios en Prado,189000,,https://www.gallito.com.uy/toda-en-una-planta-con-hermoso-desahogo-en-el-jardi­n-inmuebles-25940544,180.0,-34.84846,-56.19767
4 Dormitorios en Belvedere,189000,200.0,https://www.gallito.com.uy/casa-cuatro-dormitorios-local-en-venta-en-belvedere-inmuebles-27325331,239.0,,
2 Dormitorios en Buceo,190000,65.0,https://www.gallito.com.uy/casa-de-2-dormitorios-en-buceo-jardin-patio-y-cochera-inmuebles-20458115,96.0,-34.90125,-56.13067
3 Dormitorios en Paso De La Arena,190000,83.0,https://www.gallito.com.uy/amplia-casa-en-un-entorno-parquisado-cerca-de-la-uam-inmuebles-24422047,1752.0,-34.82467,-56.29532
2 Dormitorios en Puerto Buceo,190000,65.0,https://www.gallito.com.uy/casa-de-2-dormitorios-en-buceo-jardin-patio-y-cochera-inmuebles-20458095,96.0,-34.90125,-56.13067
2 Dormitorios en Brazo Oriental,195000,,https://www.gallito.com.uy/sobre-magested-tres-casas-en-un-mismo-padrã³n-inmuebles-27473187,1.0,-34.86557,-56.18192
3 Dormitorios en Prado,196000,80.0,https://www.gallito.com.uy/arcadia-vende-inmuebles-16290296,129.0,-34.84666,-56.20197
2 Dormitorios en Villa Dolores,197000,60.0,https://www.gallito.com.uy/casa-a-estrenar-en-villa-dolores-inmuebles-27420384,60.0,-34.89956,-56.14772
2 Dormitorios en Bolivar M. Modelo,198000,,https://www.gallito.com.uy/con-renta-2-casas-en-un-padron-inmuebles-27240383,120.0,,
3 Dormitorios en Union,198000,,https://www.gallito.com.uy/casa-en-la-uniã³n-3-dormitorios-garaje-ideal-inmuebles-25772421,266.0,-34.88644,-56.13195
2 Dormitorios en Prado,198000,,https://www.gallito.com.uy/oficina-sosa-villagrãn-y-j-suarez-prã³ximo-a-lucas-obes-inmuebles-26670307,221.0,-34.8679,-56.19568
Más de 4 dormitorios en Aguada,199000,198.0,https://www.gallito.com.uy/venta-casa-5-dormitorios-aguada-nueva-palmira-y-republica-inmuebles-27162067,198.0,,
4 Dormitorios en Brazo Oriental,199000,,https://www.gallito.com.uy/2-casas-y-un-local-en-fermin-ferreira-esquina-lorenzo-ferna-inmuebles-26169007,87.0,-34.86866,-56.18093
Más de 4 dormitorios en Aires Puros,200000,257.0,https://www.gallito.com.uy/oportunidad-excelente-construccion-con-fondo-y-galpon-inmuebles-27410317,340.0,-34.85032,-56.19143
3 Dormitorios en La Blanqueada,210000,,https://www.gallito.com.uy/hermosa-casa-en-carrasquito-de-canal-5-juan-y-inmuebles-27117883,191.0,-34.87898,-56.15891
Más de 4 dormitorios en Union,210000,284.0,https://www.gallito.com.uy/casa-en-union-inmuebles-25241951,288.0,-34.87398,-56.13052
Más de 4 dormitorios en Carrasco Norte,210000,,https://www.gallito.com.uy/terreno-venta-carrasco-norte-montevideo-imasuy-as-inmuebles-27140821,1035.0,-34.87736,-56.08441
2 Dormitorios en Prado,215000,90.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-c-cochera-en-prado-padro-inmuebles-25082711,90.0,-34.86391,-56.2027
3 Dormitorios en Jacinto Vera,219800,,https://www.gallito.com.uy/muy-buena-propiedad-sã³lida-y-cã³moda-inmuebles-26448005,116.0,,
3 Dormitorios en Aires Puros,220000,141.0,https://www.gallito.com.uy/casa-de-tejas-prox-luis-a-de-herrera-entrada-2-calles-inmuebles-25855128,141.0,,
3 Dormitorios en Buceo,220000,124.0,https://www.gallito.com.uy/pasos-estivao-y-r-anador-3-4-dorm-2-baños-gge-x-3-fdo-inmuebles-24173917,240.0,-34.89373,-56.134
3 Dormitorios en Buceo,220000,111.0,https://www.gallito.com.uy/padron-unico-solida-construccion-con-garage-inmuebles-27008603,111.0,,
2 Dormitorios en Prado,225000,130.0,https://www.gallito.com.uy/una-casa-estilo-campo-en-la-ciudad-inmuebles-27548626,130.0,-34.87021,-56.19499
2 Dormitorios en Malvin,225000,,https://www.gallito.com.uy/terreno-12-metros-de-frente-sobre-av-italia-inmuebles-24506913,250.0,-34.88567,-56.10227
